Timestamp,Open,High,Low,Close,Volume
2025-12-08 07:45:00.000,182.86,182.94,182.86,182.94,3258
2025-12-08 07:50:00.000,182.949,182.949,182.88,182.88,3279
2025-12-08 07:55:00.000,182.88,182.88,182.79,182.86,4250
2025-12-08 08:00:00.000,182.0,183.13,181.86,182.93,369053
2025-12-08 08:05:00.000,182.93,182.94,182.8221,182.86,14116
2025-12-08 08:10:00.000,182.86,182.89,182.61,182.77,26746
2025-12-08 08:15:00.000,182.77,182.77,182.5607,182.7,28996
2025-12-08 08:20:00.000,182.6501,183.02,182.29,182.39,68015
2025-12-08 08:25:00.000,182.41,182.52,182.36,182.4655,21073
2025-12-08 08:30:00.000,182.5,182.5,182.31,182.38,31424
2025-12-08 08:35:00.000,182.36,182.49,182.36,182.43,19123
2025-12-08 08:40:00.000,182.42,182.6397,182.38,182.6,29383
2025-12-08 08:45:00.000,182.5901,182.61,182.49,182.52,20895
2025-12-08 08:50:00.000,182.52,182.52,182.41,182.46,14778
2025-12-08 08:55:00.000,182.47,182.52,182.43,182.43,20146
2025-12-08 09:00:00.000,182.43,182.64,182.43,182.6399,16839
2025-12-08 09:05:00.000,182.64,182.64,182.52,182.5295,15258
2025-12-08 09:10:00.000,182.5201,182.5498,182.43,182.4399,33543
2025-12-08 09:15:00.000,182.4395,182.45,182.3606,182.4,30393
2025-12-08 09:20:00.000,182.4,182.47,182.35,182.35,21341
2025-12-08 09:25:00.000,182.35,182.86,182.23,182.68,78900
2025-12-08 09:30:00.000,182.68,185.7,182.52,184.4453,6391016
2025-12-08 09:35:00.000,184.44,185.69,184.24,185.18,2890265
2025-12-08 09:40:00.000,185.168,185.29,184.3535,185.16,2291043
2025-12-08 09:45:00.000,185.16,185.48,184.0201,184.37,2236226
2025-12-08 09:50:00.000,184.38,184.64,183.5349,183.74,1877654
2025-12-08 09:55:00.000,183.73,183.7992,183.23,183.325,1645152
2025-12-08 10:00:00.000,183.325,183.77,183.3,183.48,1336966
2025-12-08 10:05:00.000,183.48,183.48,182.9,183.085,1606629
2025-12-08 10:10:00.000,183.0901,183.36,182.74,183.3599,1317559
2025-12-08 10:15:00.000,183.36,183.45,182.905,182.92,1176861
2025-12-08 10:20:00.000,182.9365,183.07,182.68,182.905,1202587
2025-12-08 10:25:00.000,182.915,183.1226,182.4,183.0506,1469354
2025-12-08 10:30:00.000,183.05,183.75,182.86,183.65,1620098
2025-12-08 10:35:00.000,183.65,183.91,183.47,183.637,1389467
2025-12-08 10:40:00.000,183.645,184.13,183.56,184.025,1259937
2025-12-08 10:45:00.000,184.02,184.5399,184.015,184.1949,1559743
2025-12-08 10:50:00.000,184.2,184.205,183.7,183.85,1043853
2025-12-08 10:55:00.000,183.85,183.99,183.5,183.6401,1062611
2025-12-08 11:00:00.000,183.64,183.65,183.3,183.43,872117
2025-12-08 11:05:00.000,183.43,183.58,183.12,183.42,949735
2025-12-08 11:10:00.000,183.415,183.68,183.36,183.4401,782783
2025-12-08 11:15:00.000,183.43,183.63,183.22,183.42,725639
2025-12-08 11:20:00.000,183.39,183.815,183.39,183.5787,807417
2025-12-08 11:25:00.000,183.58,183.64,183.36,183.485,730779
2025-12-08 11:30:00.000,183.47,183.55,183.22,183.31,634177
2025-12-08 11:35:00.000,183.315,183.47,183.1702,183.38,603792
2025-12-08 11:40:00.000,183.405,183.5383,183.155,183.32,730324
2025-12-08 11:45:00.000,183.315,183.5,183.205,183.31,515931
2025-12-08 11:50:00.000,183.3099,183.6899,183.3099,183.605,638474
2025-12-08 11:55:00.000,183.615,183.68,183.47,183.57,544489
2025-12-08 12:00:00.000,183.57,183.58,182.91,183.0759,941398
2025-12-08 12:05:00.000,183.07,183.475,183.04,183.465,574941
2025-12-08 12:10:00.000,183.465,183.52,183.0712,183.235,623644
2025-12-08 12:15:00.000,183.23,183.45,183.14,183.225,465221
2025-12-08 12:20:00.000,183.225,183.42,183.2,183.33,367396
2025-12-08 12:25:00.000,183.345,183.4399,183.18,183.405,499361
2025-12-08 12:30:00.000,183.4039,183.485,183.32,183.3912,523310
2025-12-08 12:35:00.000,183.39,183.55,183.345,183.345,597807
2025-12-08 12:40:00.000,183.34,183.5,183.135,183.135,573486
2025-12-08 12:45:00.000,183.145,183.27,182.9,183.125,769578
2025-12-08 12:50:00.000,183.1299,183.37,183.089,183.245,565500
2025-12-08 12:55:00.000,183.25,186.49,183.13,185.83,4982103
2025-12-08 13:00:00.000,185.85,186.74,185.6,185.93,3688778
2025-12-08 13:05:00.000,185.93,187.5,185.77,187.455,3106121
2025-12-08 13:10:00.000,187.4499,187.99,187.02,187.41,3183896
2025-12-08 13:15:00.000,187.4017,187.8399,186.6125,186.7749,2309575
2025-12-08 13:20:00.000,186.77,187.7,186.7,186.86,1972313
2025-12-08 13:25:00.000,186.86,186.94,185.81,185.8941,1978571
2025-12-08 13:30:00.000,185.88,186.08,185.219,185.33,1635911
2025-12-08 13:35:00.000,185.32,185.99,185.22,185.77,1417920
2025-12-08 13:40:00.000,185.7856,185.79,185.075,185.44,1254253
2025-12-08 13:45:00.000,185.43,185.75,185.18,185.26,1132772
2025-12-08 13:50:00.000,185.265,185.34,184.9215,185.021,1007754
2025-12-08 13:55:00.000,185.03,185.05,184.23,184.43,1399713
2025-12-08 14:00:00.000,184.44,184.48,183.73,183.98,1433147
